oldest_review,category_african,category_bagels,category_bakeries,category_bars,category_bbq,category_beerbar,category_breakfast_brunch,category_bubbletea,category_buffets,category_burgers,category_cafes,category_cafeteria,category_candy,category_caribbean,category_chicken_wings,category_chickenshop,category_chinese,category_cocktailbars,category_coffee,category_convenience,category_creperies,category_cuban,category_cupcakes,category_customcakes,category_delis,category_desserts,category_diners,category_divebars,category_dog_parks,category_dominican,category_donuts,category_falafel,category_fishnchips,category_foodstands,category_foodtrucks,category_french,category_gastropubs,category_gaybars,category_gelato,category_gourmet,category_greek,category_grocery,category_halal,category_hookah_bars,category_hotdogs,category_icecream,category_indpak,category_irish_pubs,category_italian,category_japanese,category_juicebars,category_kosher,category_landmarks,category_latin,category_localflavor,category_mediterranean,category_mexican,category_mideastern,category_modern_european,category_moroccan,category_museums,category_newamerican,category_parks,category_peruvian,category_pizza,category_publicart,category_pubs,category_puertorican,category_restaurants,category_salad,category_sandwiches,category_seafood,category_soulfood,category_spanish,category_sportsbars,category_steak,category_streetvendors,category_sushi,category_tacos,category_tapas,category_tapasmallplates,category_tex-mex,category_thai,category_tobaccoshops,category_tradamerican,category_vegetarian,category_vietnamese,category_wine_bars
2014-09,0,1,14,3,1,0,1,0,0,8,3,1,0,4,3,0,28,1,7,1,1,1,0,1,9,4,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,2,1,1,9,2,6,0,7,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,20,1,1,2,7,0,5,3,1,4,2,2,2,1,0,1,1,0,1,0,4,1,1,2
2014-10,0,1,14,3,1,0,1,0,0,8,3,1,0,4,3,0,29,1,7,1,1,1,0,1,9,4,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,2,1,1,9,3,6,0,7,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,20,1,1,2,7,0,5,3,1,4,2,2,3,1,0,1,1,1,1,0,4,1,1,2
2014-11,0,1,14,3,1,0,2,0,0,8,3,1,1,4,3,0,29,1,7,1,1,1,0,1,10,4,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,2,1,1,9,3,6,0,7,2,2,1,2,10,0,1,22,3,0,0,2,1,4,0,20,1,1,2,7,0,5,3,1,4,2,2,3,1,0,1,1,1,1,0,4,1,1,2
2014-12,0,1,14,3,1,0,2,0,0,8,3,1,1,4,3,0,29,1,7,1,1,1,0,1,10,4,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,2,1,1,9,3,6,0,7,2,2,1,2,10,0,1,22,3,0,0,2,1,4,0,20,1,1,2,7,1,5,3,1,4,2,2,3,1,0,1,1,1,3,0,4,1,1,2
2015-01,0,1,14,4,1,0,2,0,0,8,3,1,1,4,3,0,30,1,7,1,1,1,0,1,10,4,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,3,1,1,9,3,6,0,7,2,2,1,2,10,0,1,22,3,0,0,2,1,4,0,20,1,1,2,7,1,6,3,1,4,2,2,3,1,0,1,1,1,3,0,4,1,1,2
2015-02,0,1,15,4,1,0,2,0,0,8,4,1,1,4,3,0,30,1,7,2,1,1,0,1,10,4,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,3,1,1,9,3,6,0,7,2,2,1,2,10,0,1,24,3,0,0,2,1,4,0,21,1,1,2,7,1,6,3,1,4,2,2,3,1,0,1,1,1,3,0,4,1,1,2
2015-04,0,1,15,4,1,0,2,0,0,8,4,1,1,4,3,0,30,1,9,2,1,1,0,1,10,5,2,1,1,0,6,0,1,5,0,3,1,0,0,1,1,3,1,1,9,4,6,0,7,2,2,1,2,10,0,1,24,3,0,0,2,1,4,0,22,1,1,2,7,1,6,3,1,4,2,2,3,1,0,1,1,1,3,0,4,1,1,2
2015-05,0,1,16,4,1,0,2,0,0,8,5,1,1,4,3,0,30,1,10,2,1,1,0,1,10,5,2,1,1,0,6,0,1,5,0,4,1,0,0,1,1,3,1,1,9,4,6,0,7,2,2,1,2,10,0,1,24,3,0,0,2,1,4,0,22,1,1,2,7,1,6,3,1,4,2,2,3,1,0,1,1,1,3,0,4,1,1,2
2015-06,0,1,17,4,1,0,2,0,0,8,5,1,1,4,3,0,30,1,11,2,1,1,0,1,10,5,2,1,1,0,6,0,1,5,0,4,1,0,0,1,1,3,1,1,10,4,6,0,7,2,2,1,2,11,0,1,25,3,0,1,2,1,4,0,23,1,1,2,7,1,6,3,1,4,2,2,3,1,0,1,1,1,3,0,4,1,1,2
2015-07,0,1,17,5,1,0,2,0,0,8,5,1,1,4,3,0,30,1,11,2,1,1,0,1,10,5,2,1,1,0,6,0,1,5,0,4,1,0,0,1,1,3,1,1,11,4,6,0,7,2,2,1,2,11,0,1,25,3,0,1,2,1,4,0,23,1,1,2,7,1,6,3,1,4,2,2,3,1,0,1,1,1,3,0,4,1,1,2
