,neighborhood,zipcodes,gentrification_label,coffee,cafe,avg_rating,avg_price,starbucks_count,bars,"%, Less than 9th grade","%, 9th to 12th grade, no diploma",% High school graduate (includes equivalency),"% Some college, no degree",% A Associate's degree,% Bachelor's degree,% Graduate or professional degree,% high school graduate or higher,% bachelor's degree or higher,% White,% African American,% American Indian and Alaska Native,% American Indian and Alaska Native - Cherokee tribal grouping,% American Indian and Alaska Native - Chippewa tribal grouping,% American Indian and Alaska Native - Navajo tribal grouping,% American Indian and Alaska Native - Sioux tribal grouping,% Asian,% Asian Indian,% Chinese,% Filipino,% Japanese,% Korean,% Vietnamese,% Other Asian,% Native Hawaiian and Other Pacific Islander,% Native Hawaiian and Other Pacific Islander - Native Hawaiian,% Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,% Native Hawaiian and Other Pacific Islander - Samoan,% Native Hawaiian and Other Pacific Islander - Other Pacific Islander,% Some other race,median_household_income_$,mean_household_income_$
86,Lower Manhattan,10038,Gentrifying,25.0,3.0,3.5348360655737703,1.575,5.0,4.0,11.6,4.6,13.8,7.9,2.1,35.2,24.8,83.8,60.0,50.3,8.7,0.3,0.0,0.0,0.0,0.0,33.5,3.9,24.1,0.4,0.3,2.2,0.4,2.2,0.0,0.0,0.0,0.0,0.0,4.7,82910,124754
87,Lower Manhattan,10280,Higher-Income,2.0,1.0,3.685185185185185,1.9166666666666667,,2.0,0.0,0.4,1.8,7.9,2.8,42.8,44.2,99.6,87.1,77.0,1.6,0.0,0.0,0.0,0.0,0.0,16.6,3.7,8.3,0.4,1.1,2.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.9,146875,205169
88,Lower East Side,10002,Gentrifying,16.0,8.0,4.089313282289665,1.707157977649781,,12.0,20.5,11.2,20.2,9.9,4.1,22.9,11.3,68.4,34.2,31.5,8.5,0.3,0.0,0.0,0.0,0.0,42.7,1.1,38.4,0.4,0.4,0.6,0.2,1.6,0.0,0.0,0.0,0.0,0.0,13.4,35594,64196
89,Lower East Side,10003,Gentrifying,54.0,6.0,4.118281930074438,1.5759643116505861,,23.0,2.2,1.7,6.0,7.5,2.7,43.1,36.8,96.1,79.8,77.5,4.4,0.2,0.0,0.1,0.0,0.0,12.9,1.7,6.1,0.6,1.4,2.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,2.1,100791,171737
90,Lower East Side,10009,Gentrifying,3.0,2.0,3.8253540350583606,1.8899303563191232,,8.0,7.3,5.5,13.6,10.1,4.5,36.8,22.3,87.3,59.1,60.6,8.2,0.1,0.0,0.0,0.0,0.0,13.5,1.9,7.8,1.0,0.8,1.3,0.1,0.7,0.1,0.0,0.0,0.1,0.0,14.2,60788,85897
91,Upper East Side,10021,Higher-Income,28.0,7.0,4.03595854676532,2.010711692084241,8.0,8.0,0.5,1.1,5.6,7.6,3.2,40.5,41.5,98.4,82.0,82.7,1.3,0.7,0.0,0.0,0.0,0.0,9.5,4.2,1.7,1.3,0.4,1.0,0.3,0.5,0.1,0.0,0.0,0.0,0.1,2.3,115681,211624
92,Upper East Side,10028,Higher-Income,17.0,7.0,3.9516428192898783,2.0036075036075034,8.0,8.0,1.5,1.1,5.5,7.5,3.2,42.3,38.9,97.4,81.2,86.1,1.4,0.1,0.0,0.0,0.0,0.0,9.2,1.8,3.4,0.9,1.4,1.1,0.2,0.5,0.3,0.0,0.0,0.0,0.3,0.8,111302,199223
93,Upper East Side,10044,Higher-Income,1.0,,3.9038461538461537,1.3333333333333333,1.0,,4.9,6.3,14.4,8.4,3.2,23.3,39.6,88.9,62.9,53.1,14.6,0.0,0.0,0.0,0.0,0.0,25.9,1.8,15.4,0.4,1.7,4.3,0.4,1.8,0.0,0.0,0.0,0.0,0.0,2.2,86483,116564
94,Upper East Side,10065,Higher-Income,23.0,7.0,3.8462103174603177,2.5314159910539558,3.0,4.0,0.5,0.5,6.9,8.0,2.0,40.7,41.4,98.9,82.1,87.2,3.4,0.0,0.0,0.0,0.0,0.0,7.8,1.0,3.4,0.7,0.8,1.6,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.4,118310,220482
95,Upper East Side,10075,Higher-Income,4.0,1.0,3.3444444444444446,2.0,1.0,2.0,0.5,1.8,5.7,7.6,5.1,38.3,41.0,97.7,79.3,88.0,1.5,0.0,0.0,0.0,0.0,0.0,4.9,1.0,2.4,0.5,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,114481,204044
