,category_african,category_bagels,category_bakeries,category_bars,category_bbq,category_beerbar,category_breakfast_brunch,category_bubbletea,category_buffets,category_burgers,category_cafes,category_cafeteria,category_candy,category_caribbean,category_chicken_wings,category_chickenshop,category_chinese,category_cocktailbars,category_coffee,category_convenience,category_creperies,category_cuban,category_cupcakes,category_customcakes,category_delis,category_desserts,category_diners,category_divebars,category_dog_parks,category_dominican,category_donuts,category_falafel,category_fishnchips,category_foodstands,category_foodtrucks,category_french,category_gastropubs,category_gaybars,category_gelato,category_gourmet,category_greek,category_grocery,category_halal,category_hookah_bars,category_hotdogs,category_icecream,category_indpak,category_irish_pubs,category_italian,category_japanese,category_juicebars,category_kosher,category_landmarks,category_latin,category_localflavor,category_mediterranean,category_mexican,category_mideastern,category_modern_european,category_moroccan,category_museums,category_newamerican,category_parks,category_peruvian,category_pizza,category_publicart,category_pubs,category_puertorican,category_restaurants,category_salad,category_sandwiches,category_seafood,category_soulfood,category_spanish,category_sportsbars,category_steak,category_streetvendors,category_sushi,category_tacos,category_tapas,category_tapasmallplates,category_tex-mex,category_thai,category_tobaccoshops,category_tradamerican,category_vegetarian,category_vietnamese,category_wine_bars,rent
2013-07-01,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,1.0,0.0,,0.04347826086956519,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.25,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,-0.0027829433493410383
2013-08-01,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.05399811917217989
2013-09-01,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.16666666666666674,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.013881133319006311
2013-10-01,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.6666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.19999999999999996,,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.00846811247564938
2013-11-01,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.04166666666666674,0.0,0.0,0.0,inf,0.0,,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.050000000000000044,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,-0.03554924851164254
2013-12-01,,0.0,0.19999999999999996,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.19999999999999996,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,inf,0.028153063059682237
2014-01-01,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,,0.0,0.125,0.5,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2014-02-01,,0.0,0.08333333333333326,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,inf,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,-0.00684554276770355
2014-03-01,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.16666666666666674,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,-0.048249090587041965
2014-04-01,,0.0,0.07692307692307687,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.125,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,-0.014484309200128331
