,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,oldest_review,latitude,longitude,zipcode
159,jalapeno-deli-new-york,369.7574201213672,-60bWpA01o0JgI3uK1lp4g,https://s3-media2.fl.yelpcdn.com/bphoto/ayVFRJu-JS9WsCBGzKrFvA/o.jpg,False,"{'address1': '1629 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1629 Lexington Ave', 'New York, NY 10029']}",jalapeno deli,$,4.0,12,[],https://www.yelp.com/biz/jalapeno-deli-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,latin,2/2/2009,40.7900599,-73.9477,10029
160,mi-querido-mexico-lindo-new-york,780.4210421401854,YS21bp9Wp715X75r7eTzxw,https://s3-media2.fl.yelpcdn.com/bphoto/vhM2oHR3C0koKLNlOnamOg/o.jpg,False,"{'address1': '247 E 116th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['247 E 116th St', 'New York, NY 10029']}",mi querido mexico lindo,$,4.5,12,[],https://www.yelp.com/biz/mi-querido-mexico-lindo-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,1/31/2009,40.79733,-73.93816,10029
161,spice-hut-indian-restaurant-new-york,364.33399853298994,NH7Ws65ZwlmOosiblfGTRw,https://s3-media2.fl.yelpcdn.com/bphoto/dN3bBNZ3bKyUDKBbCtGMgw/o.jpg,False,"{'address1': '2036 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2036 2nd Ave', 'New York, NY 10029']}",spice hut indian restaurant,$$,3.0,48,"['delivery', 'pickup']",https://www.yelp.com/biz/spice-hut-indian-restaurant-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,12/10/2013,40.78967,-73.94278,10029
162,blimpie-new-york-44,76.14236326423378,U0vTlPd_wWUcS5NCMkHl3g,https://s3-media2.fl.yelpcdn.com/bphoto/YQvEo9FDhj6dTa-1EKVPdg/o.jpg,False,"{'address1': '1928 3rd Ave', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1928 3rd Ave', 'New York, NY 10029']}",blimpie,$,4.0,9,[],https://www.yelp.com/biz/blimpie-new-york-44?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,sandwiches,2/13/2011,40.79191,-73.94465,10029
163,taqueria-el-barrio-new-york,1101.8047093275554,tt91_FxQHt2H_cmVbWFU_A,https://s3-media1.fl.yelpcdn.com/bphoto/uHL7ffrctF0zVm_X_HJ8OQ/o.jpg,False,"{'address1': '2327 1st Ave', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10035', 'country': 'US', 'state': 'NY', 'display_address': ['2327 1st Ave', 'New York, NY 10035']}",taqueria el barrio,$,4.0,34,"['delivery', 'pickup']",https://www.yelp.com/biz/taqueria-el-barrio-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,11/10/2014,40.7982299,-73.93419,10035
164,hallett-nature-sanctuary-new-york,102.68641728410923,zmIebpcLe0d3hyTNTzGenA,https://s3-media2.fl.yelpcdn.com/bphoto/R4G73hOLXW0SolYasXhVCA/o.jpg,False,"{'address1': 'Central Park', 'address2': '', 'address3': '60th-62nd St S to Wollman Rink', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['Central Park', '60th-62nd St S to Wollman Rink', 'New York, NY 10029']}",hallett nature sanctuary,,4.5,6,[],https://www.yelp.com/biz/hallett-nature-sanctuary-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,parks,4/22/2016,40.7916407,-73.9447994,10029
165,kahluas-cafe-new-york,690.2474949420089,pMEooj-67pxMyB0a1bLHdA,https://s3-media1.fl.yelpcdn.com/bphoto/2u_Gh9ih-QYCA5sfR6UYsA/o.jpg,False,"{'address1': '2117 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2117 3rd Ave', 'New York, NY 10029']}",kahlua's cafe,$,3.5,30,['pickup'],https://www.yelp.com/biz/kahluas-cafe-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,cafes,12/27/2008,40.797542,-73.939949,10029
166,gina-la-fornarina-new-york-2,1385.9689995057709,yA6X0jOWMJW0FRewgyUy9Q,https://s3-media2.fl.yelpcdn.com/bphoto/M-gH86FaPopbeYhCggQgUQ/o.jpg,False,"{'address1': '26 E 91st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['26 E 91st St', 'New York, NY 10128']}",gina la fornarina,$$,3.5,75,"['delivery', 'pickup']",https://www.yelp.com/biz/gina-la-fornarina-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,4/11/2012,40.7839431762695,-73.9568481445312,10128
167,jefferson-park-new-york,754.8682561071976,OmCilo-PDlkEifauCqtkTA,https://s3-media4.fl.yelpcdn.com/bphoto/vhK71xb8k2aEAjaC5MWlyA/o.jpg,False,"{'address1': '114TH St And 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['114TH St And 1st Ave', 'New York, NY 10029']}",jefferson park,,4.0,17,[],https://www.yelp.com/biz/jefferson-park-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,parks,4/6/2008,40.7946987434313,-73.9363530430252,10029
168,mamas-restaurant-new-york,1103.0816974769546,ONkwCKmCSlzk3Jmaf9vqcA,https://s3-media2.fl.yelpcdn.com/bphoto/VgB_uDFmxJxN5OWupdepEQ/o.jpg,False,"{'address1': '2347 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10035', 'country': 'US', 'state': 'NY', 'display_address': ['2347 2nd Ave', 'New York, NY 10035']}",mama's restaurant,$,3.5,49,"['delivery', 'pickup']",https://www.yelp.com/biz/mamas-restaurant-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,caribbean,5/21/2012,40.799931,-73.936081,10035
169,holy-mole-tamale-new-york,291.28393553319967,USbP_ZBNSP0h_gja_xob5w,https://s3-media2.fl.yelpcdn.com/bphoto/DxPws7al-2e3tPyjjcnw8A/o.jpg,False,"{'address1': '133 E 110th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['133 E 110th St', 'New York, NY 10029']}",holy mole tamale!,$,4.5,7,[],https://www.yelp.com/biz/holy-mole-tamale-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,foodstands,12/17/2008,40.79519,-73.94473,10029
170,bistro-casa-azul-new-york,1148.5793531637455,3iegS9M-EMbkhaPV2rsovg,https://s3-media3.fl.yelpcdn.com/bphoto/PpOnPzxNK5FkTqTnzs2g0Q/o.jpg,False,"{'address1': '343 Pleasant Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10035', 'country': 'US', 'state': 'NY', 'display_address': ['343 Pleasant Ave', 'New York, NY 10035']}",bistro casa azul,,5.0,13,[],https://www.yelp.com/biz/bistro-casa-azul-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,8/10/2018,40.79659,-73.93229,10035
171,famous-original-rays-pizza-new-york-4,1048.3521278970504,YLXdQoA87EMMsed8IUuykg,https://s3-media2.fl.yelpcdn.com/bphoto/_a61dxWTczvqK8rNBDRoNA/o.jpg,False,"{'address1': '1827 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['1827 2nd Ave', 'New York, NY 10128']}",famous original ray's pizza,$,2.5,116,"['delivery', 'pickup']",https://www.yelp.com/biz/famous-original-rays-pizza-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,7/13/2006,40.78342,-73.9479099,10128
172,side-park-cafe-new-york-3,551.1189787303115,AuKtb5a8DEe1qSVe_vwpzQ,https://s3-media1.fl.yelpcdn.com/bphoto/qpfi5z12_K7ytgfjw19z_A/o.jpg,False,"{'address1': '1230 5th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1230 5th Ave', 'New York, NY 10029']}",side park cafe,$$,3.5,21,"['delivery', 'pickup']",https://www.yelp.com/biz/side-park-cafe-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,3/25/2017,40.7931,-73.95137,10029
173,mr-moes-deli-new-york,238.85462853821937,e2K0QQTpvGBIgGAO6zWQ3A,https://s3-media4.fl.yelpcdn.com/bphoto/w6TcKKkKmZlb-WmQF-BBKg/o.jpg,False,"{'address1': '2001 Third Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2001 Third Ave', 'New York, NY 10029']}",mr  moes deli,,4.5,7,"['delivery', 'pickup']",https://www.yelp.com/biz/mr-moes-deli-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,delis,4/2/2016,40.793959,-73.942698,10029
