,level_0,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
21,21,bluestone-lane-new-york-11,coffee,293.68301052518984,O6LArju5DvLrGNrvErieVA,https://s3-media1.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/o.jpg,False,"{'address1': '30 Broad St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['30 Broad St', 'New York, NY 10004']}",bluestone lane,$,4.0,231,[],https://www.yelp.com/biz/bluestone-lane-new-york-11?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/2/2013,40.7063436944471,-74.0118295429916,10004
22,22,ellis-island-new-york,landmarks,50.4592427921641,bv_3TFbMfA0EGkF96m_oGA,https://s3-media1.fl.yelpcdn.com/bphoto/_BJ_USd9o5pShvtLwfcENQ/o.jpg,False,"{'address1': None, 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['New York, NY 10004']}",ellis island,,4.5,78,[],https://www.yelp.com/biz/ellis-island-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/23/2008,40.70447,-74.01151,10004
23,23,leos-bagels-new-york,coffee,316.8044733529575,s-Fg5eHqv4VCAn2ANkHiZA,https://s3-media2.fl.yelpcdn.com/bphoto/l6M9MKo2GSVPUfvOBOhAdQ/o.jpg,False,"{'address1': '3 Hanover Sq', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['3 Hanover Sq', 'New York, NY 10005']}",leo's bagels,$,3.5,692,"['pickup', 'delivery']",https://www.yelp.com/biz/leos-bagels-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/10/2009,40.7048928861349,-74.0097218048184,10005
24,24,one-world-trade-center-new-york-4,landmarks,1010.0094264269618,ZJC4YEatJ1CK-m37rl7-MQ,https://s3-media1.fl.yelpcdn.com/bphoto/a28KdtKLhkUb1ucSE3nfdA/o.jpg,False,"{'address1': '285 Fulton St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['285 Fulton St', 'New York, NY 10007']}",one world trade center,,4.5,433,[],https://www.yelp.com/biz/one-world-trade-center-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/10/2006,40.713019,-74.0131689,10007
25,25,shortys-new-york-3,sandwiches,199.55212168807859,Ai9zcAveCf-eRPup4HIXhw,https://s3-media2.fl.yelpcdn.com/bphoto/WqmLmR9v7DMcn1gbdAOTLA/o.jpg,False,"{'address1': '62 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['62 Pearl St', 'New York, NY 10004']}",shorty's,$$,4.0,237,"['pickup', 'delivery']",https://www.yelp.com/biz/shortys-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/7/2013,40.7034454,-74.0110779,10004
26,26,the-growler-bites-and-brews-new-york,breweries,250.4590261393965,ttE1oTYNRzK51h8FyIX36g,https://s3-media2.fl.yelpcdn.com/bphoto/cqINmDelnxxc2B7nyyIFFg/o.jpg,False,"{'address1': '55 Stone St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['55 Stone St', 'New York, NY 10004']}",the growler bites & brews,$$,4.0,249,[],https://www.yelp.com/biz/the-growler-bites-and-brews-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,12/3/2011,40.7044362276793,-74.0102791786194,10004
27,27,ulysses-folk-house-new-york-2,pubs,284.35831513966707,mn6JM5lHuSSsG9KSXck3ww,https://s3-media1.fl.yelpcdn.com/bphoto/FZklZlEvBaCV2lfh34VCwA/o.jpg,False,"{'address1': '95 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['95 Pearl St', 'New York, NY 10004']}",ulysses folk house,$$,3.0,713,[],https://www.yelp.com/biz/ulysses-folk-house-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/29/2006,40.7042799890041,-74.0099190920591,10004
28,28,clinton-hall-new-york,newamerican,474.95947951908937,nm5rcWNmfevNXLNQAITi5w,https://s3-media1.fl.yelpcdn.com/bphoto/jkOeBmGbclLyY3zbOa7COw/o.jpg,False,"{'address1': '90 Washington St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['90 Washington St', 'New York, NY 10006']}",clinton hall,$$,4.0,495,"['pickup', 'delivery']",https://www.yelp.com/biz/clinton-hall-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/30/2013,40.70803,-74.014869,10006
29,29,fishmarket-restaurant-new-york,seafood,1021.2007203543789,LpVbI-E9C-CSp7WhU5h2Iw,https://s3-media1.fl.yelpcdn.com/bphoto/BxY50B6ntFYQa8COuI1Fog/o.jpg,False,"{'address1': '111 South St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['111 South St', 'New York, NY 10038']}",fishmarket restaurant,$$,4.5,456,[],https://www.yelp.com/biz/fishmarket-restaurant-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/30/2008,40.70717,-74.00192,10038
30,30,broadstone-bar-and-kitchen-new-york,newamerican,123.08820668106195,fanlKZzN-fI9LywqQD6EHg,https://s3-media1.fl.yelpcdn.com/bphoto/sAVZz3VHpS8nOK52hH4NBw/o.jpg,False,"{'address1': '88 Broad St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['88 Broad St', 'New York, NY 10004']}",broadstone bar & kitchen,$$,4.0,159,[],https://www.yelp.com/biz/broadstone-bar-and-kitchen-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/25/2016,40.70411,-74.01186,10004
