,level_0,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
20,20,shaapz-sports-bar-and-eatery-floral-park,623.7656786210221,AkbtpU7dqXs-huQCsDhz2g,https://s3-media4.fl.yelpcdn.com/bphoto/_zrtRrrIwLaPv79eQ-aS8Q/o.jpg,False,"{'address1': '252-13 Union Turnpike', 'address2': None, 'address3': '', 'city': 'Floral Park', 'zip_code': '11426', 'country': 'US', 'state': 'NY', 'display_address': ['252-13 Union Turnpike', 'Floral Park, NY 11426']}",shaapz sports bar & eatery,$$,4.5,21,[],https://www.yelp.com/biz/shaapz-sports-bar-and-eatery-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7439525,-73.7181356,11426
21,21,jassis-fine-indian-cuisine-new-hyde-park-3,1166.7344386419895,IgERw1hR7AC8Yozdf1lpEQ,https://s3-media2.fl.yelpcdn.com/bphoto/XiXUee0-xTJO6PWDeYCA-Q/o.jpg,False,"{'address1': '27111 Union Tpke', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['27111 Union Tpke', 'New Hyde Park, NY 11040']}",jassi's fine indian cuisine,$$,3.5,140,"['delivery', 'pickup']",https://www.yelp.com/biz/jassis-fine-indian-cuisine-new-hyde-park-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7520828,-73.7027936,11040
22,22,gigis-pizza-new-hyde-park,1077.230709654603,DC3SCkzbZkumAVQsCLCHWg,https://s3-media2.fl.yelpcdn.com/bphoto/KgBQdZxyO_Zke_G2NKI1aA/o.jpg,False,"{'address1': '673 Hillside Ave', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['673 Hillside Ave', 'New Hyde Park, NY 11040']}",gigi's pizza,$,3.5,102,"['delivery', 'pickup']",https://www.yelp.com/biz/gigis-pizza-new-hyde-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.742309972982,-73.698112889627,11040
23,23,taste-of-cochin-bellerose-2,921.286048025946,gSOMj9g3Iy9BLeBXS8VjGw,https://s3-media3.fl.yelpcdn.com/bphoto/lV9UFw-AbtWjcDFVATi41A/o.jpg,False,"{'address1': '248-08 Union Tpke', 'address2': '', 'address3': '', 'city': 'Bellerose', 'zip_code': '11426', 'country': 'US', 'state': 'NY', 'display_address': ['248-08 Union Tpke', 'Bellerose, NY 11426']}",taste of cochin,$$,3.5,67,[],https://www.yelp.com/biz/taste-of-cochin-bellerose-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7422491,-73.7217573,11426
24,25,texas-chicken-and-burgers-new-york-11,770.0617482465103,fO995x_bAvDBxYU-c-HxQg,https://s3-media1.fl.yelpcdn.com/bphoto/l2ofoWN35D7vIhybMSHnRQ/o.jpg,False,"{'address1': '255-21 Hillside Ave', 'address2': 'Bellerose', 'address3': '', 'city': 'New York', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['255-21 Hillside Ave', 'Bellerose', 'New York, NY 11004']}",texas chicken & burgers,$,3.5,72,[],https://www.yelp.com/biz/texas-chicken-and-burgers-new-york-11?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chicken_wings,40.7366979432706,-73.7121231481433,11004
25,26,bia-vietnamese-restaurant-and-bar-new-hyde-park-2,1161.8571977856998,ROxxwK6YJOge2x8Gs-ZpvQ,https://s3-media1.fl.yelpcdn.com/bphoto/eDup-F70dEb4rWBpNuxc4Q/o.jpg,False,"{'address1': '271-12 Union Tpke', 'address2': '', 'address3': None, 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['271-12 Union Tpke', 'New Hyde Park, NY 11040']}",bia vietnamese restaurant & bar,$$,3.5,105,"['delivery', 'pickup']",https://www.yelp.com/biz/bia-vietnamese-restaurant-and-bar-new-hyde-park-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,dimsum,40.7517708,-73.7025836,11040
26,28,curry-and-co-new-hyde-park-8,1185.8271860308078,odUty0yRO2CFPYp4RckZlQ,https://s3-media3.fl.yelpcdn.com/bphoto/CdtT_krmviS9dJE_ksrksg/o.jpg,False,"{'address1': '271-19 Union Tpke', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['271-19 Union Tpke', 'New Hyde Park, NY 11040']}",curry & co,$,3.5,83,"['delivery', 'pickup']",https://www.yelp.com/biz/curry-and-co-new-hyde-park-8?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7521913140981,-73.7025456503034,11040
27,30,afghan-kebab-house-floral-park,694.0357098395834,w3GmN59xXxwEeZm1jT4fsw,https://s3-media1.fl.yelpcdn.com/bphoto/bPcvnpVEhNZ0XMR9TTtjfA/o.jpg,False,"{'address1': '259-11 Hillside Ave', 'address2': None, 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['259-11 Hillside Ave', 'Floral Park, NY 11004']}",afghan kebab house,$$,4.0,22,"['delivery', 'pickup']",https://www.yelp.com/biz/afghan-kebab-house-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,afghani,40.73748,-73.70883,11004
28,31,sohna-punjab-indian-restaurant-bellerose,923.5131459248372,EEYLyO-mcKFU1ZgfutzOow,https://s3-media4.fl.yelpcdn.com/bphoto/-hm5ox205AKav79yxxuqOw/o.jpg,False,"{'address1': '248-03 Union Tpke', 'address2': '', 'address3': '', 'city': 'Bellerose', 'zip_code': '11426', 'country': 'US', 'state': 'NY', 'display_address': ['248-03 Union Tpke', 'Bellerose, NY 11426']}",sohna punjab indian restaurant,$$,3.5,86,"['delivery', 'pickup']",https://www.yelp.com/biz/sohna-punjab-indian-restaurant-bellerose?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.742581,-73.7219231,11426
29,32,panera-bread-new-hyde-park,1056.2968247457593,CRg41OlwDlrrGJ0E1reQvA,https://s3-media1.fl.yelpcdn.com/bphoto/nsL8Nvem9aXh5MafI4jwOg/o.jpg,False,"{'address1': '669 Hillside Ave', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['669 Hillside Ave', 'New Hyde Park, NY 11040']}",panera bread,$$,3.5,70,[],https://www.yelp.com/biz/panera-bread-new-hyde-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,sandwiches,40.742273,-73.69837,11040
30,33,cheung-khei-restaurant-glen-oaks,518.2257870416482,wkMbOwABu2duXFuXf8hklw,https://s3-media4.fl.yelpcdn.com/bphoto/hX3YnTRE48zWZZNe-vqDHQ/o.jpg,False,"{'address1': '25324 Union Tpke', 'address2': '', 'address3': '', 'city': 'Glen Oaks', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['25324 Union Tpke', 'Glen Oaks, NY 11004']}",cheung khei restaurant,$,3.5,34,[],https://www.yelp.com/biz/cheung-khei-restaurant-glen-oaks?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chinese,40.7440228,-73.7172189,11004
31,34,cafe-cardini-new-hyde-park,1176.6312118005656,Dzr3hcUWSD_a2iMIwmSQtw,https://s3-media3.fl.yelpcdn.com/bphoto/a_hq2lJSBNLzhkVmOSbwzg/o.jpg,False,"{'address1': '271-20 Union Tpke', 'address2': None, 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['271-20 Union Tpke', 'New Hyde Park, NY 11040']}",cafe cardini,$$,4.0,39,[],https://www.yelp.com/biz/cafe-cardini-new-hyde-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.751925391184,-73.7022583186626,11040
