,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
20,el-jeffe-brooklyn,1773.8972214126236,34LM8_lP8iwizHBu6YgaQQ,https://s3-media4.fl.yelpcdn.com/bphoto/hJlnefUcbPP_fKj7atN8kQ/o.jpg,False,"{'address1': '1483 Fulton St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1483 Fulton St', 'Brooklyn, NY 11216']}",el jeffe,$$,4.5,131,"['pickup', 'delivery']",https://www.yelp.com/biz/el-jeffe-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/5/2016,40.6801601,-73.9419752,11216
21,a-and-a-the-doubles-kings-brooklyn,2115.440368681228,Dw0D3560Yt3pQtdm74gGeQ,https://s3-media1.fl.yelpcdn.com/bphoto/oHF-B3GoO-qw6JngT0jrtw/o.jpg,False,"{'address1': '1337 Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1337 Fulton St', 'Brooklyn, NY 11216']}",a&a the doubles kings,$,4.5,170,[],https://www.yelp.com/biz/a-and-a-the-doubles-kings-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/23/2007,40.680521,-73.947943,11216
22,lunàtico-brooklyn,1116.3895329755424,WyFvM4kmgNm19jip0tDBqA,https://s3-media4.fl.yelpcdn.com/bphoto/Yu-D0xX4546p9xKxqVIPcg/o.jpg,False,"{'address1': '486 Halsey St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['486 Halsey St', 'Brooklyn, NY 11233']}",lunàtico,$$,4.5,81,[],https://www.yelp.com/biz/lun%C3%A0tico-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/6/2015,40.6834345006833,-73.9346118563989,11233
23,zabka-coffee-brooklyn,921.0235425538524,E2Pil7qZLKNdK0wuKzkFTA,https://s3-media1.fl.yelpcdn.com/bphoto/vFADI-ad9KYUzVujW4aivQ/o.jpg,False,"{'address1': '616 Halsey Sreet', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['616 Halsey Sreet', 'Brooklyn, NY 11233']}",zabka coffee,$,4.5,65,"['pickup', 'delivery']",https://www.yelp.com/biz/zabka-coffee-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/28/2015,40.68404,-73.92956,11233
24,lucha-lucha-brooklyn-2,1966.1462876412809,t5bLApk2dbQPJiLuzfy5tg,https://s3-media2.fl.yelpcdn.com/bphoto/mXz82xIHwEx98BdBEwAuyQ/o.jpg,False,"{'address1': '283 Nostrand Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['283 Nostrand Ave', 'Brooklyn, NY 11216']}",lucha lucha,$$,4.0,241,"['pickup', 'delivery']",https://www.yelp.com/biz/lucha-lucha-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/27/2014,40.688983,-73.951026,11216
25,tepache-bedford-stuyvesant,1306.2303421412144,HOEjrJUwKBxSmQRVSILS8Q,https://s3-media1.fl.yelpcdn.com/bphoto/PdG3_CWDim6jhd9U07hMnw/o.jpg,False,"{'address1': '361 Halsey St', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['361 Halsey St', 'Bedford-Stuyvesant, NY 11216']}",tepache,$$,3.5,292,"['pickup', 'delivery']",https://www.yelp.com/biz/tepache-bedford-stuyvesant?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/5/2015,40.683368,-73.938289,11216
26,julias-ridgewood,2453.1171999871995,9kCcNKe7z9GZFU3NhkoExA,https://s3-media3.fl.yelpcdn.com/bphoto/qx50a0k6monlgrmsqOy1Gw/o.jpg,False,"{'address1': '818 Woodward Ave', 'address2': '', 'address3': '', 'city': 'Ridgewood', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['818 Woodward Ave', 'Ridgewood, NY 11385']}",julia's,$$,4.5,173,[],https://www.yelp.com/biz/julias-ridgewood?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/23/2015,40.703143,-73.902956,11385
27,georges-andré-vintage-café-brooklyn-2,1020.5302562909246,yeQcsyLC9mucPxl2XZsgCQ,https://s3-media4.fl.yelpcdn.com/bphoto/0oK-MidHPCJAlYwCJ51bFw/o.jpg,False,"{'address1': '558 Halsey St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['558 Halsey St', 'Brooklyn, NY 11233']}",georges-andré vintage café,$,4.0,110,[],https://www.yelp.com/biz/georges-andr%C3%A9-vintage-caf%C3%A9-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/31/2013,40.683663,-73.932579,11233
28,salud-bar-and-grill-brooklyn,1820.1393616174269,jhpeHVxJSmGdD61MTrKi7A,https://s3-media1.fl.yelpcdn.com/bphoto/p9UEkAWY5Z4kUPw60xWBxg/o.jpg,False,"{'address1': '1413 Bushwick Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['1413 Bushwick Ave', 'Brooklyn, NY 11207']}",salud bar & grill,$$,4.0,247,[],https://www.yelp.com/biz/salud-bar-and-grill-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/2/2015,40.6846559,-73.9090595,11207
29,father-knows-best-brooklyn,1804.187810704324,eN8Cmf0Vxucyg02NyP7mbw,https://s3-media1.fl.yelpcdn.com/bphoto/aFjQ0dF_2Er-DqYlYimkDw/o.jpg,False,"{'address1': '611A Wilson Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['611A Wilson Ave', 'Brooklyn, NY 11207']}",father knows best,$$,4.0,187,[],https://www.yelp.com/biz/father-knows-best-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/27/2016,40.6901735,-73.9069755,11207
30,alis-trinidad-roti-shop-brooklyn-2,2288.6765955881483,L7SAE6REtK71TNI2C98_bQ,https://s3-media2.fl.yelpcdn.com/bphoto/LEl448KK_TA4fF_FP5wL9w/o.jpg,False,"{'address1': '1267 Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1267 Fulton St', 'Brooklyn, NY 11216']}",ali's trinidad roti shop,$,4.0,250,[],https://www.yelp.com/biz/alis-trinidad-roti-shop-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/10/2008,40.68065,-73.95061,11216
